id,duration,wage-increase-first-year,wage-increase-second-year,cost-of-living-adjustment,working-hours,statutory-holidays,vacation,contribution-to-dental-plan,contribution-to-health-plan,class,Outlier,ExtremeValue
1,1,5,3.971739,none,40,11,average,half,full,good,no,no
2,2,4.5,5.8,none,35,11,below_average,full,full,good,no,no
3,2.160714,3.803571,3.971739,none,38,11,generous,half,half,good,no,no
4,3,3.7,4,tc,38.039216,11.09434,below_average,half,full,good,no,no
5,3,4.5,4.5,none,40,12,average,half,half,good,no,no
6,2,2,2.5,none,35,12,average,half,full,good,no,no
7,3,4,5,tc,38.039216,12,generous,none,half,good,no,no
8,3,6.9,4.8,none,40,12,below_average,half,full,good,no,no
9,1,5.7,3.971739,none,40,11,generous,full,full,good,no,no
10,3,3.5,4,none,36,13,generous,half,full,good,no,no
11,2,6.4,6.4,none,38,15,below_average,full,full,good,no,no
12,2,3.5,4,none,40,10,below_average,half,half,bad,no,no
13,3,3.5,4,tcf,37,13,generous,full,full,good,no,no
14,1,3,3.971739,none,36,11,generous,half,full,good,no,no
15,2,4.5,4,none,37,11,average,full,full,good,no,no
16,1,2.8,3.971739,none,35,12,below_average,half,full,good,no,no
17,1,2.1,3.971739,tc,40,9,below_average,half,none,bad,no,no
18,1,2,3.971739,none,38,11,average,none,none,bad,no,no
19,2,4,5,tcf,35,15,generous,half,full,good,no,no
20,2,4.3,4.4,none,38,12,generous,full,full,good,no,no
21,2,2.5,3,none,40,11,below_average,half,full,bad,no,no
22,2,4.5,4,none,40,10,generous,half,full,good,no,no
23,1,6,3.971739,none,38,9,generous,half,full,good,no,no
24,3,2,2,none,40,10,below_average,half,full,bad,no,no
25,2,4.5,4.5,tcf,38.039216,10,below_average,none,half,good,no,no
26,2,3,3,none,33,12,generous,half,full,good,no,no
27,2,5,4,none,37,11,below_average,full,full,good,no,no
28,3,2,2.5,none,35,10,average,half,full,bad,no,no
29,3,4.5,4.5,none,40,11,average,half,full,good,no,no
30,3,3,2,tc,40,10,below_average,half,full,bad,no,no
31,2,2.5,2.5,none,38,10,average,half,full,bad,no,no
32,2,4,5,none,40,10,below_average,none,none,bad,no,no
33,3,2,2.5,tc,40,10,below_average,half,full,bad,no,no
34,2,2,2,none,40,11,average,none,full,bad,no,no
35,1,2,3.971739,tc,40,11,generous,none,none,bad,no,no
36,1,2.8,3.971739,none,38,9,below_average,half,none,bad,no,no
37,3,2,2.5,none,37,10,average,half,none,bad,no,no
38,2,4.5,4,none,40,12,average,full,half,good,no,no
39,1,4,3.971739,none,38.039216,11,average,none,none,bad,no,no
40,2,2,3,none,38,12,generous,none,full,bad,no,no
41,2,2.5,2.5,tc,39,12,average,half,full,bad,no,no
42,2,2.5,3,tcf,40,11,below_average,half,full,bad,no,no
43,2,4,4,none,40,10,below_average,none,none,bad,no,no
44,2,4.5,4,none,40,10,below_average,half,half,bad,no,no
45,2,4.5,4,none,40,11,average,full,full,good,no,no
46,2,4.6,4.6,tcf,38,11.09434,below_average,half,half,good,no,no
47,2,5,4.5,none,38,11,below_average,half,full,good,no,no
48,2,5.7,4.5,none,40,11,average,full,full,good,no,no
49,2,7,5.3,none,38.039216,11,below_average,full,full,good,no,no
50,3,2,3,tcf,38.039216,11.09434,below_average,half,full,good,no,no
51,3,3.5,4,tcf,35,13,generous,half,full,good,no,no
52,3,4,3.5,none,40,11,average,full,full,good,no,no
53,3,5,4.4,none,38,11,generous,half,full,good,no,no
54,3,5,5,none,40,12,average,half,half,good,no,no
55,3,6,6,none,35,9,generous,full,full,good,no,no